nohup: ignoring input
2016/03/12 20:48:09 1930000
2016/03/12 20:48:32 1940000
2016/03/12 20:48:55 1950000
2016/03/12 20:49:18 1960000
2016/03/12 20:49:42 1970000
2016/03/12 20:50:06 1980000
2016/03/12 20:50:29 1990000
2016/03/12 20:50:51 2000000
2016/03/12 20:51:13 2010000
2016/03/12 20:51:38 2020000
2016/03/12 20:52:03 2030000
2016/03/12 20:52:26 2040000
2016/03/12 20:52:49 2050000
2016/03/12 20:53:12 2060000
2016/03/12 20:53:37 2070000
2016/03/12 20:54:02 2080000
2016/03/12 20:54:26 2090000
2016/03/12 20:54:50 2100000
2016/03/12 20:55:12 2110000
2016/03/12 20:55:40 2120000
2016/03/12 20:56:03 2130000
2016/03/12 20:56:26 2140000
2016/03/12 20:56:51 2150000
2016/03/12 20:57:14 2160000
2016/03/12 20:57:37 2170000
2016/03/12 20:58:00 2180000
2016/03/12 20:58:24 2190000
2016/03/12 20:58:47 2200000
2016/03/12 20:59:10 2210000
2016/03/12 20:59:34 2220000
2016/03/12 20:59:58 2230000
2016/03/12 21:00:20 2240000
2016/03/12 21:00:42 2250000
2016/03/12 21:01:06 2260000
2016/03/12 21:01:29 2270000
2016/03/12 21:01:54 2280000
2016/03/12 21:02:18 2290000
2016/03/12 21:02:40 2300000
2016/03/12 21:03:02 2310000
2016/03/12 21:03:27 2320000
2016/03/12 21:03:52 2330000
2016/03/12 21:04:15 2340000
2016/03/12 21:04:39 2350000
2016/03/12 21:05:04 2360000
2016/03/12 21:05:28 2370000
2016/03/12 21:05:53 2380000
2016/03/12 21:06:17 2390000
2016/03/12 21:06:41 2400000
2016/03/12 21:07:05 2410000
2016/03/12 21:07:27 2420000
2016/03/12 21:07:51 2430000
2016/03/12 21:08:14 2440000
2016/03/12 21:08:39 2450000
2016/03/12 21:09:04 2460000
2016/03/12 21:09:27 2470000
2016/03/12 21:09:51 2480000
2016/03/12 21:10:15 2490000
2016/03/12 21:10:40 2500000
2016/03/12 21:11:06 2510000
2016/03/12 21:11:30 2520000
2016/03/12 21:11:55 2530000
2016/03/12 21:12:19 2540000
2016/03/12 21:12:42 2550000
2016/03/12 21:13:06 2560000
2016/03/12 21:13:31 2570000
2016/03/12 21:13:57 2580000
2016/03/12 21:14:21 2590000
2016/03/12 21:14:44 2600000
2016/03/12 21:15:07 2610000
2016/03/12 21:15:31 2620000
2016/03/12 21:15:55 2630000
2016/03/12 21:16:18 2640000
2016/03/12 21:16:41 2650000
2016/03/12 21:17:07 2660000
2016/03/12 21:17:30 2670000
2016/03/12 21:17:55 2680000
2016/03/12 21:18:18 2690000
2016/03/12 21:18:41 2700000
2016/03/12 21:19:06 2710000
2016/03/12 21:19:29 2720000
2016/03/12 21:19:53 2730000
2016/03/12 21:20:17 2740000
2016/03/12 21:20:40 2750000
2016/03/12 21:21:03 2760000
